Source,Description,"Value £s  In bands of £1,500",Received,Registered,gid
Crisis UK,Secretariat  From : 09/03/2016  To : 31/12/2016,15001-16500,09/03/2016,11/04/2016,homelessness
National Council for Palliative Care,Secretariat  From : 01/04/2016  To : 31/03/2017,3001-4500,01/04/2016,19/10/2016,hospice-and-palliative-care
Independent Age,Secretariat  From : 01/01/2016  To : 31/12/2016  Cost Met : Independent Age is funded by Hanover Housing to act as the group's secretariat,6001-7500,01/01/2016,24/03/2016,housing-and-care-for-older-people
Royal Institution of Chartered Surveyors,Reception,1501-3000,22/03/2016,11/11/2016,housing-and-planning
Royal Institution of Chartered Surveyors,Secretariat  From : 16/07/2016  To : 15/07/2017,6001-7500,16/07/2016,11/11/2016,housing-and-planning
Harm Reduction International,Reception held on 16 November 2016,1501-3000,16/11/2016,14/12/2016,human-rights
Amnesty International UK,Reception held on 7 December 2016,3001-4500,07/12/2016,09/01/2017,human-rights
Human Trafficking Foundation,Secretariat  From : 01/01/2016  To : 31/12/2016,4501-6000,01/01/2016,18/07/2016,human-trafficking-and-modern-slavery
Sheffield Political Economy Research Institute,Secretariat  From : 15/11/2016  To : 14/11/2017,49501-51000,15/11/2016,22/11/2016,inclusive-growth
Kent County Council,Secretariat  From : 01/07/2016  To : 30/06/2017,3001-4500,01/07/2016,20/10/2016,industrial-heritage
Crohn's and Colitis UK,Secretariat  From : 09/01/2017  To : 31/12/2017,3001-4500,09/01/2017,18/04/2017,inflammatory-bowel-disease
Luther Pendragon,Luther Pendragon is paid by the Alliance for Intellectual Property to act as the APPG's secretariat  From : 01/01/2016  To : 31/12/2016,4501-6000,01/01/2016,13/07/2016,intellectual-property
Aspect Consulting,Secretariat  From : 08/09/2016  To : 08/09/2017,28501-30000,08/09/2016,06/01/2017,international-mining
Independent Higher Education,Secretariat  From : 09/05/2016  To : 31/12/2016,1501-3000,09/05/2016,11/05/2016,international-students
Association of Chartered Certified Accountants,Secretariat  From : 08/02/2017  To : 08/02/2018,19501-21000,08/02/2017,08/02/2017,international-trade-and-investment
Institute of Jainology Ltd,Secretariat  From : 13/09/2016  To : 31/12/2016,1501-3000,13/09/2016,21/09/2016,jainism
Board of Deputies of British Jews,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,04/08/2016,jews
Sunderland City Council,Secretariat  From : 08/02/2017  To : 07/02/2018,4501-6000,08/02/2017,01/03/2017,key-cities
Royal Mencap Society,Secretariat  From : 15/07/2016  To : 14/07/2017,9001-10500,15/07/2016,01/11/2016,learning-disability
Legal Aid Practitioners,Legal Aid Practitioners is paid by Legal Education Foundation to act as the group's secretariat  From : 01/01/2016  To : 31/12/2016,4501-6000,01/01/2016,27/07/2016,legal-aid
The Law Society,Secretariat  From : 01/01/2017  To : 31/12/2017,6001-7500,01/01/2017,06/01/2017,legal-and-constitutional-affairs
The Bar Council,Secretariat  From : 01/01/2017  To : 31/12/2017,4501-6000,01/01/2017,06/01/2017,legal-and-constitutional-affairs
CILIP,Secretariat  From : 31/01/2017  To : 30/01/2018,7501-9000,31/01/2017,31/01/2017,libraries
Life Sciences UK,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,03/08/2016,life-sciences
Transport Training Services UK Group,Secretariat  From : 14/09/2016  To : 13/09/2017,15001-16500,14/09/2016,04/10/2016,light-rail
Centre for Understanding Sustainable Prosperity,"Centre for Understanding Sustainable Prosperity,funded by the Economic and Social Research Council,acts as the group's secretariat  From : 01/01/2017  To : 01/01/2018",4501-6000,01/01/2017,24/02/2017,limits-to-growth
Butler Kelly,Butler Kelly is funded by Listed Properties Owners Club to act as the APPG's secretariat  From : 01/11/2016  To : 31/07/2017,1501-3000,01/11/2016,02/12/2016,listed-properties
The Hepatitis C Trust,Secretariat  From : 01/01/2015  To : 31/12/2015,9001-10500,01/01/2015,23/06/2015,liver-health
The Smith Institute,Secretariat  From : 07/06/2016  To : 06/06/2017,9001-10500,07/06/2016,30/06/2016,local-authority-pension-funds
LGiU,Secretariat  From : 11/07/2016  To : 10/07/2017,7501-9000,11/07/2016,05/08/2016,local-government
London Councils,Secretariat  From : 27/05/2016  To : 26/05/2017,4501-6000,27/05/2016,20/07/2016,london
London Stansted Cambridge Consortium,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,24/10/2016,london-stansted-cambridge-corridor
The London Society,Secretariat  From : 01/01/2017  To : 31/12/2017,4501-6000,01/01/2017,25/01/2017,londons-planning-and-built-environment
Become,Secretariat  From : 01/01/2016  To : 31/12/2016,16501-18000,01/01/2016,03/02/2016,looked-after-children-and-care-leavers
Chartered Management Institute,Secretariat  From : 01/01/2015  To : 31/12/2015,1501-3000,01/01/2015,06/07/2015,management
Tidal Lagoon Power PLC,Reception launch,6001-7500,13/07/2016,18/07/2016,marine-energy-and-tidal-lagoons
The Whitehouse Consultancy Ltd,"The Whitehouse Consultancy Ltd is funded by BT, TimeWarner, Gobal Group, Arqiva, News UK, Discovery, Viacom, Asia TV, The New Arab, UKTV, and Camelot to meet the costs of the group's 2017 reception",15001-16500,30/06/2016,15/11/2016,media
The Whitehouse Consultancy Ltd,"The Whitehouse Consultancy Ltd is funded by BT, TimeWarner, Gobal Group, Arqiva, News UK, Discovery, Viacom, Asia TV, The New Arab, UKTV, and Camelot to provide secretariat services to the group.  From : 30/06/2016  To : 29/06/2017",15001-16500,30/06/2016,15/11/2016,media
Association of Medical Research Charities,Secretariat  From : 01/04/2016  To : 31/03/2017,28501-30000,01/04/2016,22/12/2016,medical-research
Working Men's Club and Institute Union,Annual cost of lunches held at the Palace of Westminster after each meeting of the group.,3001-4500,16/06/2015,16/06/2015,members-clubs
Working Men's Club and Institute Union,Secretariat  From : 14/06/2016  To : 14/06/2017,4501-6000,14/06/2016,11/07/2016,members-clubs
Meningitis Now,Secretariat  From : 25/10/2016  To : 24/10/2017,1501-3000,25/10/2016,03/11/2016,meningitis
Health Food Manufacturers' Association,Secretariat  From : 01/03/2016  To : 01/03/2017,1501-3000,01/03/2016,24/03/2016,micronutrients-and-health
Migrants Rights Network,Secretariat  From : 01/01/2016  To : 31/12/2016,31501-33000,01/01/2016,04/11/2016,migration
Mindfulness Initiative,Report costs,40501-42000,20/10/2015,22/07/2016,mindfulness
British Council,Secretariat  From : 01/07/2016  To : 30/06/2017,10501-12000,01/07/2016,24/10/2016,modern-languages
Society of Motor Manufacturers and Traders,Joint Secretariat  From : 01/01/2017  To : 31/12/2017,3001-4500,01/01/2017,04/04/2017,motor
Motorsports Industry Association,Joint Secretariat  From : 01/01/2017  To : 31/12/2017,1501-3000,01/01/2017,04/04/2017,motor
RAC Foundation,Joint Secretariat  From : 01/01/2017  To : 31/12/2017,1501-3000,01/01/2017,04/04/2017,motor
Rowan Public Affairs,Secretariat  From : 19/09/2016  To : 18/09/2017,1501-3000,19/09/2016,19/09/2016,motorcycling
British Mountaineering Council,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,28/06/2016,mountaineering
MS Society,Secretariat  From : 01/01/2017  To : 31/12/2017,9001-10500,01/01/2017,20/01/2017,multiple-sclerosis
Muscular Dystrophy UK,Secretariat  From : 01/01/2016  To : 31/12/2016,3001-4500,01/01/2016,07/06/2015,muscular-dystrophy
UK Music,Secretariat  From : 01/01/2016  To : 31/12/2016,3001-4500,01/01/2016,08/06/2015,music
UK Music,Lunch held on 13 December 2016,1501-3000,13/12/2016,06/01/2017,music
Mutuo,Secretariat  From : 01/07/2016  To : 30/06/2017,7501-9000,01/07/2016,06/07/2015,mutuals
Action for M.E,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,28/09/2016,myalgic-encephalomyelitis-me
The ME Association,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,28/09/2016,myalgic-encephalomyelitis-me
National Parks England,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,28/10/2016,national-parks
Pen Green Research Base,Secretariat  From : 18/11/2016  To : 17/11/2017,3001-4500,18/11/2016,28/11/2016,nursery-schools-and-nursery-classes
The Whitehouse Consultancy,Secretariat  From : 20/02/2017  To : 20/02/2018,10501-12000,20/02/2017,07/03/2017,obesity
TUC,Secretariat  From : 06/07/2016  To : 06/07/2017,1501-3000,06/07/2016,15/07/2016,occupational-safety-and-health
Oil & Gas UK,Reception held on 21 March 2016,6001-7500,21/03/2016,09/05/2016,offshore-oil-and-gas
National Osteoporosis Society,Secretariat  From : 01/01/2015  To : 31/12/2015,4501-6000,01/01/2015,07/07/2015,osteoposis
Target Ovarian Cancer,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,21/07/2016,ovarian-cancer
Pancreatic Cancer UK,Secretariat  From : 28/07/2016  To : 28/07/2017,9001-10500,28/07/2016,10/07/2016,pancreatic-cancer
Family and Childcare Trust,Secretariat  From : 01/01/2015  To : 31/12/2015,1501-3000,01/01/2015,06/07/2015,parents-and-families
Parkinson's UK,Secretariat  From : 02/01/2015  To : 31/12/2015,1501-3000,02/01/2015,16/07/2015,parkinsons
Vendorcom,Secretariat  From : 25/04/2016  To : 31/12/2016,16501-18000,25/04/2016,05/05/2016,payment-systems
Prison Reform Trust,Prison Reform Trust is funded by Barrow Cadbury Trust to act as the APPG's secretariat  From : 12/07/2016  To : 11/07/2017,12001-13500,12/07/2016,19/07/2016,penal-affairs
Association of Consulting Actuaries,Annual Lunch,3001-4500,25/10/2016,20/12/2016,pensions
Association of Consulting Actuaries,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,20/12/2016,pensions
The Performer's Alliance,Secretariat  From : 01/01/2016  To : 31/12/2016,12001-13500,01/01/2016,19/10/2016,performers-alliance
The Peformers Alliance,Christmas party,6001-7500,13/12/2016,14/02/2017,performers-alliance
PHG Foundation,Secretariat  From : 01/01/2017  To : 31/12/2017,19501-21000,01/01/2017,28/02/2017,personalised-medicine
Luther Pendragon,"Luther Pendragon is funded by The Pharmaceutical Services Negotiating Committee, The Royal Pharmaceutical Society and Pharmacy Voice to provide secretariat services to the APPG  From : 01/01/2016  To : 31/12/2016",39001-40500,01/01/2016,12/07/2016,pharmacy
Pepper Shakleton Wellard Ltd,Pepper Shackleton Wellard Ltd is funded by the Royal Pigeon Racing Association to act as the group's secretariat  From : 22/11/2016  To : 21/11/2017,4501-6000,22/11/2016,25/11/2016,pigeon-racing
Association of Police and Crime Commissioners,Secretariat  From : 15/06/2015  To : 14/06/2016,4501-6000,15/06/2015,22/06/2015,policing
European Parliamentary Forum on Population and Development,Event,1501-3000,04/05/2016,10/05/2016,population-development-and-reproductive-health
European Parliamentary Forum on Population and Development,"Flight, hotel, and per diem costs met for a member to attend a meeting in Ivory Coast. [Value shown here also includes a previous visit (whose individual value falls below the threshold for registration) for which flight, other travel, hotel and per diem costs were met for one member to attend a conference in Copenhagen from 15-20 May 2016].  From : 11/12/2016  To : 14/12/2016",1501-3000,11/12/2016,05/01/2017,population-development-and-reproductive-health
European Parliamentary Forum on Population and Development,Costs met for 2 members to attend a study tour in El Guatemala and Salvador  From : 23/01/2017  To : 27/01/2017,3001-4500,23/01/2017,22/02/2017,population-development-and-reproductive-health
Webb Memorial Trust,Secretariat  From : 01/01/2016  To : 31/12/2016,19501-21000,01/01/2016,08/02/2016,poverty
British Printing Industries Federation,Secretariat  From : 29/06/2016  To : 28/06/2017,4501-6000,29/06/2016,12/07/2016,print
The Public Affairs Company,Residential Landlords Association pays The Public Affairs Company to act as the group's secretariat.  From : 16/06/2016  To : 15/06/2017,10501-12000,16/06/2016,04/07/2016,private-rented-sector
Legal Action Group,Secretariat  From : 16/07/2016  To : 16/07/2018,6001-7500,16/07/2016,01/08/2016,pro-bono
Right to Life Charitable Trust,Research services  From : 01/01/2017  To : 31/12/2017,9001-10500,01/01/2017,23/02/2017,pro-life
Mentor UK,Joint Secretariat  From : 14/11/2016  To : 13/11/2017,1501-3000,14/11/2016,22/11/2016,psychoactive-substances-and-volatile-substance-abuse
Re-Solv,Joint Secretariat  From : 14/11/2016  To : 13/11/2017,1501-3000,14/11/2016,22/11/2016,psychoactive-substances-and-volatile-substance-abuse
The Law Commission,Secretariat  From : 23/02/2016  To : 22/02/2017,3001-4500,23/02/2016,25/02/2016,public-legal-education
Ladbrokes,Reception held on 15 December 2015,1501-3000,15/12/2015,04/07/2016,racing-and-bloodstock-industries
Ladbrokes Coral,Reception held on 7 December 2016,3001-4500,07/12/2016,22/02/2017,racing-and-bloodstock-industries
Freshwater UK,Secretariat  From : 01/01/2016  To : 31/12/2016,13501-15000,01/01/2016,14/10/2016,rail-in-the-north
Genetic Alliance UK,Secretariat  From : 01/01/2017  To : 31/12/2017,4501-6000,01/01/2017,07/04/2017,rare-genetic-and-undiagnosed-conditions
Local Government Association,Secretariat  From : 16/06/2016  To : 15/06/2017,1501-3000,16/06/2016,04/07/2016,reform-decentralisation-and-devolution-in-the-uk
Refugee Council,Secretariat  From : 07/07/2016  To : 06/07/2017,1501-3000,07/07/2016,24/10/2016,refugees
Church of England,Administrative assistance for event and conference  From : 15/08/2016  To : 25/10/2016,3001-4500,15/08/2016,21/11/2016,religion-or-belief
Church of England,Administrative assistance for round table meeting  From : 10/12/2016  To : 10/03/2017,3001-4500,10/12/2016,13/03/2017,religion-or-belief
PRASEG Ltd,Secretariat  From : 01/07/2016  To : 01/07/2017,24001-25500,01/07/2016,05/09/2016,renewable-and-sustainable-energy
Common Vision UK (CoVi),"Secretariat services  From : 14/09/2015  To : 13/09/2016  Cost Met : CoVi part-funded by CIPFA, The Joffe Charitable Trust, John Lewis and Oxfam to provide secretariat services to the group",27001-28500,14/09/2015,12/12/2016,responsible-tax
Chartered Institute of Public Finance and Accountancy,Secretariat services  From : 14/09/2015  To : 13/09/2016,4501-6000,14/09/2015,12/12/2016,responsible-tax
Common Vision UK (CoVi),Secretariat services  From : 15/09/2016  To : 31/12/2016,7501-9000,15/09/2016,12/12/2016,responsible-tax
Chartered Institute of Public Finance and Accountancy,Secretariat  From : 14/09/2016  To : 13/09/2017,3001-4500,14/09/2016,09/01/2017,responsible-tax
National Federation of Retail Newsagents,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,14/07/2016,retail-crime
Ranelagh Political Communications,National Federation of Roofing Contractors funds Ranelagh Political Communications to act as the group's secretariat.  From : 01/01/2016  To : 31/12/2016,22501-24000,01/01/2016,16/12/2016,roofing-industry
MR Sport,Secretariat  From : 25/11/2016  To : 24/11/2017,16501-18000,25/11/2016,12/04/2017,rowing
Royal Television Society,Secretariat  From : 27/04/2016  To : 26/04/2017,1501-3000,27/04/2016,28/07/2016,royal-television-society
MR Group,MR Group is part funded by Rugby Football League to act as secretariat to the APPG  From : 05/07/2016  To : 04/07/2017,24001-25500,05/07/2016,13/07/2016,rugby-league
Premiership Rugby,Awards ceremony,6001-7500,07/07/2016,26/07/2016,rugby-union
Bingham Centre for the Rule of Law,Bingham Centre for the Rule of Law is funded by The Legal Education Foundation to act as the group's secretariat  From : 01/11/2016  To : 31/10/2018,49501-51000,01/11/2016,03/11/2016,rule-of-law
Missing People,Secretariat  From : 30/06/2016  To : 29/06/2017,1501-3000,30/06/2016,25/10/2016,runaway-and-missing-children-and-adults
England Athletics Utd,Secretariat  From : 01/07/2016  To : 01/07/2017,1501-3000,01/07/2016,27/10/2016,running
Rural Services Network,Secretariat  From : 01/01/2016  To : 31/12/2016,3001-4500,01/01/2016,21/06/2016,rural-services
Association for Public Service Excellence,Secretariat  From : 01/01/2016  To : 31/12/2016,3001-4500,01/01/2016,11/07/2016,school-food
Front Foot Communications Ltd,"Front Foot Communications Ltd is paid by the following clients to act as the APPG's secretariat: National Farmers Union, National Institute of Agricultural Botany, FERA, British Society of Plant Breeders, British Growers Association, Agricultural Biotechnology Council, Crop Protecion Association, Agricultural Industries Confederation  From : 06/07/2016  To : 05/07/2017",16501-18000,06/07/2016,25/07/2016,science-and-technology-in-agriculture
Scotch Whisky Association,Visit to Islay  From : 07/10/2016  To : 08/10/2016,3001-4500,07/10/2016,18/10/2016,scotch-whisky
Scotch Whisky Association,Secretariat  From : 01/12/2016  To : 30/11/2017,1501-3000,01/12/2016,05/12/2016,scotch-whisky
National Custom and Self-Build Association,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,21/11/2016,self-build-custom-and-community-housebuilding-and-placemaking
PB Political Consulting,"PB Political Consulting works with the UK Sepsis Trust as the APPG’s secretariat, from grants received from the Cerner Corporation and Becton Dickinson & Company  From : 08/06/2016  To : 07/06/2017",13501-15000,08/06/2016,10/06/2016,sepsis
UK Sepsis Trust,The UK Sepsis Trust works with PB Political Consulting as the APPG’s secretariat  From : 08/06/2016  To : 07/06/2017,22501-24000,08/06/2016,10/06/2016,sepsis
The Fawcett Society,Joint Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,07/03/2016,sex-equality
The Young Women's Trust,Joint Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,07/03/2016,sex-equality
Family Planning Association,Secretariat  From : 01/01/2016  To : 31/12/2016,9001-10500,01/01/2016,19/10/2016,sexual-and-reproductive-health
The British Association for Shooting and Conservation,Secretariat  From : 13/09/2016  To : 12/09/2017,1501-3000,13/09/2016,28/09/2016,shooting-and-conservation
The British Association for Shooting and Conservation,Annual dinner held on 6 December 2016,1501-3000,06/12/2016,23/12/2016,shooting-and-conservation
Teneo Blue Rubicon,Teneo Blue Rubicon is paid by Novartis Oncology to act as the APPG's secretariat  From : 01/01/2016  To : 31/12/2016,22501-24000,01/01/2016,18/02/2016,sickle-cell-and-thalassemia
Newington,Secretariat  From : 28/06/2016  To : 28/06/2017,48001-49500,28/06/2016,12/07/2016,smart-cities
Action on Smoking and Health,Printing report; producing bulletins; funding a reception.,1501-3000,26/10/2016,26/10/2016,smoking-and-health
Action on Smoking and Health,Secretariat  From : 01/07/2016  To : 30/06/2017,1501-3000,01/07/2016,26/10/2016,smoking-and-health
The Challenge,Secretariat  From : 23/03/2016  To : 31/12/2016,1501-3000,23/03/2016,23/03/2016,social-integration
Sutton Trust,Secretariat  From : 01/01/2017  To : 31/12/2017,3001-4500,01/01/2017,20/01/2017,social-mobility
Briitsh Sott Drinks Association,Secretariat  From : 11/07/2016  To : 31/12/2016,7501-9000,11/07/2016,27/07/2016,soft-drinks
UK Space (the trade association),Reception held on 27 June 2016,4501-6000,27/06/2016,20/07/2016,space
UK Space (the trade association),Reception held on 7 December 2016,6001-7500,07/12/2016,16/12/2016,space
Sarah Chilman,Sarah Chilman is funded by UK Space (the trade association) to act as the APPG's secretariat  From : 01/01/2017  To : 31/12/2017,7501-9000,01/01/2017,23/01/2017,space
Royal College of Speech and Language Therapists,Secretariat  From : 01/01/2016  To : 31/12/2016,7501-9000,01/01/2016,13/10/2016,speech-and-language-difficulties
Spinal Injuries Association,Secretariat  From : 01/01/2015  To : 31/12/2015,1501-3000,01/01/2015,23/06/2015,spinal-cord-injury
Sport and Recreation Alliance,Secretariat  From : 01/01/2016  To : 31/12/2016,3001-4500,01/01/2016,20/07/2016,sport
Royal Statistical Society,Secretariat  From : 11/10/2016  To : 10/10/2017,1501-3000,11/10/2016,28/10/2016,statistics
Anthony Nolan,Secretariat  From : 03/06/2016  To : 02/06/2017,3001-4500,03/06/2016,10/01/2017,stem-cell-transplantation
Consortium for Street Children,Secretariat  From : 01/01/2016  To : 31/12/2016,3001-4500,01/01/2016,25/10/2016,street-children
National Union of Students,Secretariat  From : 11/07/2016  To : 11/07/2017,4501-6000,11/07/2016,25/07/2016,students
i2i events,"Advertising, marketing and some travel costs relating to a trade show held in September 2016",1501-3000,13/09/2016,16/12/2016,sustainable-resource
British Tamil Forum,Secretariat  From : 24/06/2015  To : 31/12/2015,1501-3000,24/06/2015,25/06/2015,tamils
Tristan Fitzgerald Associates,Secretariat  From : 14/06/2016  To : 13/06/2017,1501-3000,14/06/2016,25/08/2016,taxation
Newington,"Newington is funded by Licensed Taxi Driver Association, Hailo, and Gett to act as the group's secretariat  From : 04/07/2016  To : 03/07/2017",25501-27000,04/07/2016,19/07/2016,taxis
Insight Consulting Group,"AntiCoagulation Europe pays Insight Consulting Group to act as the group's secretariat from grants received from the Pfizer-BMS Alliance, Bayer, Leo Pharmaceuticals and FirstKind Ltd  From : 01/04/2016  To : 31/12/2016",61501-63000,10/05/2016,31/05/2016,thrombosis
Keep Britain Tidy,Secretariat  From : 01/04/2016  To : 31/03/2017,6001-7500,01/04/2016,10/03/2017,tidy-britain
Confederation of Timber Industries,Secretariat  From : 09/02/2016  To : 31/12/2016,4501-6000,09/02/2016,04/05/2016,timber-industries
Saana Consulting,Secretariat  From : 01/01/2016  To : 31/12/2016,21001-22500,01/01/2016,21/10/2016,trade-out-of-poverty
Parliamentary Advisory Council for Transport Safety (the charity PACTS),Secretariat  From : 12/07/2016  To : 11/07/2017,4501-6000,12/07/2016,12/07/2016,transport-safety
Results UK,Secretariat  From : 01/01/2016  To : 31/12/2016,12001-13500,01/01/2016,10/10/2016,tuberculosis
Open Britain,Secretariat  From : 15/09/2016  To : 14/09/2017,3001-4500,15/09/2016,23/09/2016,uk-and-europe
Hill+Knowlton Strategies,Secretariat  From : 13/09/2016  To : 12/09/2017,73501-75000,13/09/2016,21/09/2016,unconventional-oil-and-gas
United Nations Association - UK,Secretariat  From : 01/01/2016  To : 31/12/2016,3001-4500,01/01/2016,22/06/2016,united-nations
Bond,Secretariat  From : 01/07/2016  To : 30/07/2017,1501-3000,01/07/2016,26/07/2016,united-nations-global-goals-for-sustainable-development
Universities UK,Secretariat  From : 01/01/2016  To : 31/12/2016,49501-51000,01/01/2016,26/10/2016,universities
RESULTS UK,Secretariat  From : 22/03/2017  To : 31/12/2017,4501-6000,22/03/2017,26/03/2017,vaccinations-for-all
PB Consulting,"PB Consulting is paid by Medtronic Ltd, Bard Ltd, Boston Scientific, and Cook Medical to act as the APPG's secretariat  From : 06/09/2016  To : 06/09/2017",31501-33000,06/09/2016,22/09/2016,vascular-disease
National Council for Voluntary Organisations,"NCVO is paid by Vegan Society, Vegetarian Society, and Vegetarian For Life  From : 01/12/2016  To : 30/11/2017",4501-6000,01/12/2016,23/01/2017,vegetarianism-and-veganism
UK Interactive Entertainment,Secretariat  From : 01/01/2016  To : 31/12/2016,6001-7500,01/01/2016,03/05/2016,video-games
British Hospitality Association (assisted by Jefferson Communications),Secretariat  From : 05/10/2016  To : 05/10/2017,9001-10500,05/10/2016,05/10/2016,visitor-economy
Connect Communications,"Connect Communications is paid by Affinity Water, Gemserv, Future Water Association, Northumbrian Water, and Wessex Water to act as the group's secretariat.  From : 07/02/2017  To : 07/02/2018",16501-18000,07/02/2017,13/02/2017,water
Brevia Consulting,Brevia Consulting is funded by Royal Life Saving Society UK to provide secretariat services to the APPG  From : 16/06/2016  To : 15/06/2017,16501-18000,16/06/2016,14/10/2016,water-safety-and-drowning-prevention
Inland Waterways Association,Secretariat  From : 01/06/2016  To : 01/06/2017,3001-4500,01/06/2016,31/05/2016,waterways
New Economics Foundation,Secretariat  From : 01/07/2016  To : 30/06/2017,4501-6000,01/07/2016,16/08/2016,wellbeing-economics
West Coast Rail 250 Campaign,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,16/07/2016,west-coast-main-line
Connect Communications,Secretariat  From : 07/12/2016  To : 06/12/2017,15001-16500,07/12/2016,08/12/2016,west-midlands
The White Ribbon Campaign,Secretariat  From : 18/10/2016  To : 17/10/2017,1501-3000,18/10/2016,09/12/2016,white-ribbon-campaign-uk
Wine and Spirit Trade Association,Event on 17 October 2016 and reception on 5 December 2016,3001-4500,05/12/2016,11/01/2017,wine-and-spirit-group
Lloyds Banking Group,Hospitality and room hire,1501-3000,08/03/2017,28/03/2017,women-in-parliament
Howard League for Penal Reform,Secretariat  From : 30/06/2016  To : 30/07/2017,1501-3000,30/06/2016,12/07/2016,women-in-the-penal-system
WTS London,Secretariat  From : 24/05/2016  To : 23/05/2017,3001-4500,24/05/2016,07/06/2016,women-in-transport
Gender Action for Peace and Security,Secretariat  From : 01/01/2016  To : 31/12/2016,4501-6000,01/01/2016,18/12/2015,women-peace-and-security
PB Political Consulting,PB Political Consulting is paid by grants from Gedeon Richter and Boston Scientific to act as the group's secretariat  From : 27/04/2016  To : 27/04/2017,19501-21000,27/04/2016,18/05/2016,womens-health
Women in Sport,Secretariat  From : 05/07/2016  To : 04/07/2017,4501-6000,05/07/2016,12/07/2016,womens-sport-and-fitness
Tetra Strategy,Tetra Strategy is paid by the Wood Panel Industry Federation to act as the APPG's secretariat  From : 24/05/2016  To : 31/12/2016,4501-6000,24/05/2016,10/06/2016,wood-panel-industry
Authors' Licensing & Collecting Society,Reception,4501-6000,24/05/2016,10/06/2016,writers
Authors' Licensing & Collecting Society,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,10/06/2016,writers
Connect Communications,"Connect Communications is funded by Yorkshire Building Society, Infrastructure North, Stagecoach (Yorkshire), ABPorts and the University of Hull to act as the APPG's secretariat  From : 08/06/2016  To : 07/06/2017",19501-21000,08/06/2016,06/09/2016,yorkshire-and-northern-lincolnshire
Muscular Dystrophy UK,Secretariat  From : 01/01/2017  To : 31/12/2017,3001-4500,01/01/2017,06/01/2017,young-disabled-people
BT,Launch event held 15/10/15,19501-21000,15/10/2015,06/07/2016,young-people-and-social-technology
Resolve,Secretariat  From : 27/06/2016  To : 26/06/2017,48001-49500,27/06/2016,07/10/2016,young-people-and-social-technology
YMCA England,YMCA England is funded by the British Youth Council to act as the group's secretariat  From : 15/11/2016  To : 14/11/2017,1501-3000,15/11/2016,15/11/2016,youth-affairs
Youth Employment UK CIC,Secretariat  From : 09/06/2016  To : 08/06/2017,3001-4500,09/06/2016,15/08/2016,youth-employment
Biaza,Secretariat  From : 12/07/2016  To : 11/07/2017,1501-3000,12/07/2016,11/08/2016,zoos-and-aquariums
Godrej Industries Ltd,Tea held on 2 November 2016,1501-3000,02/11/2016,28/11/2016,zoroastrianism
Football Association,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,06/07/2016,football-club
